Entry,Ligand_SMILES,Substrate_SMILES,Yield,tokenized_ligand,tokenized_substrate
34,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,94.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
35,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)=O,80.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,C C ( C 1 = C C = C C = C 1 ) = O
36,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1=CC=CC=C1)C(F)(F)F,86.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
37,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1CCCCC1)C2=CC=CC=C2,98.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
38,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C1CCCC2=CC=CC=C21,5.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C 1 C C C C 2 = C C = C C = C 2 1
39,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C1CCC2=CC=CC=C2C1,84.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C 1 C C C 2 = C C = C C = C 2 C 1
40,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1CCCCC1)C2CCCCC2,17.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
41,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C(C1=CC=CC=C1)C2=CC=CC=C2,4.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
42,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,3.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
43,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,7.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
44,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,6.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
45,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,CC(C1=CC=CC=C1)=O,3.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,C C ( C 1 = C C = C C = C 1 ) = O
46,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C(C1=CC=CC=C1)C(F)(F)F,36.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
47,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C(C1CCCCC1)C2=CC=CC=C2,2.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
48,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C1CCCC2=CC=CC=C21,1.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C 1 C C C C 2 = C C = C C = C 2 1
49,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C1CCC2=CC=CC=C2C1,12.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C 1 C C C 2 = C C = C C = C 2 C 1
50,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,O=C(C1CCCCC1)C2CCCCC2,0.0,C 1 ( P ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3 ) = C C = C C = C 1 P ( C 4 = C C = C C = C 4 ) C 5 = C C = C C = C 5,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
51,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=CC=C1)C2=CC=CC=C2,25.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
52,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,13.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
53,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,10.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
54,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,51.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
55,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,CC(C1=CC=CC=C1)=O,21.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,C C ( C 1 = C C = C C = C 1 ) = O
56,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=CC=C1)C(F)(F)F,96.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
57,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1CCCCC1)C2=CC=CC=C2,11.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
58,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C1CCCC2=CC=CC=C21,13.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C 1 C C C C 2 = C C = C C = C 2 1
59,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C1CCC2=CC=CC=C2C1,95.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C 1 C C C 2 = C C = C C = C 2 C 1
60,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1CCCCC1)C2CCCCC2,3.0,C 1 ( C 2 = C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) C = C C = C 2 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
61,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C(C1=CC=CC=C1)C2=CC=CC=C2,31.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
