Entry,Ligand_SMILES,Substrate_SMILES,Yield
21,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.0
22,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 18 16 22 16 20 18 16 21 22 16 16 22 16 17 16 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.0
23,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 22 16 20 18 19 16 18 16 21 22 16 16 22 16 17 16 22 16 21 18 19 16 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.0
24,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 27 18 16 22 16 20 18 16 21 22 16 16 22 16 17 27 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0
25,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 16 16 17 16 20 22 16 16 22 16 16 22 16 20 18 22 19 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0
26,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 17 27 18 17 27 18 27 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16.0
27,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0
28,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 16 21 22 16 16 22 16 16 22 16 21 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.0
29,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 21 22 16 16 22 16 16 22 16 21 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.0
30,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 16 16 16 16 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.0
